,country,year,sector,emissions,emissions_change
271,Latvia,2018,Industry,1512990.3499999999,
274,Latvia,2019,Industry,1447332.77,-65657.57999999984
277,Latvia,2020,Industry,1377891.01,-69441.76000000001
280,Latvia,2021,Industry,1347409.99,-30481.02000000002
283,Latvia,2022,Industry,1294542.75,-52867.23999999999
286,Latvia,2023,Industry,1322506.53,27963.780000000028
272,Latvia,2018,Transport,3085424.8,
275,Latvia,2019,Transport,3239871.72,154446.9200000004
278,Latvia,2020,Transport,2109450.39,-1130421.33
281,Latvia,2021,Transport,2356758.31,247307.91999999993
284,Latvia,2022,Transport,2516367.12,159608.81000000006
287,Latvia,2023,Transport,2740139.71,223772.58999999985
288,Lithuania,2018,Energy,1531561.45,
291,Lithuania,2019,Energy,1353561.46,-177999.99
294,Lithuania,2020,Energy,1686715.74,333154.28
297,Lithuania,2021,Energy,1848377.88,161662.1399999999
300,Lithuania,2022,Energy,1480238.51,-368139.3699999999
303,Lithuania,2023,Energy,1186469.42,-293769.0900000001
289,Lithuania,2018,Industry,5487416.899999999,
292,Lithuania,2019,Industry,5708936.32,221519.42000000086
295,Lithuania,2020,Industry,5544235.83,-164700.49000000022
298,Lithuania,2021,Industry,5388175.5200000005,-156060.3099999996
301,Lithuania,2022,Industry,4905105.4,-483070.1200000001
304,Lithuania,2023,Industry,4858510.78,-46594.62000000011
290,Lithuania,2018,Transport,6129854.68,
293,Lithuania,2019,Transport,6522496.76,392642.0800000001
296,Lithuania,2020,Transport,8411523.45,1889026.6899999995
299,Lithuania,2021,Transport,8768196.31,356672.86000000127
302,Lithuania,2022,Transport,8640203.07,-127993.24000000022
305,Lithuania,2023,Transport,8852522.78,212319.70999999903
306,Luxembourg,2018,Energy,309014.8,
309,Luxembourg,2019,Energy,310821.7,1806.9000000000233
312,Luxembourg,2020,Energy,299026.2,-11795.5
315,Luxembourg,2021,Energy,303299.1,4272.899999999965
318,Luxembourg,2022,Energy,258408.1,-44890.99999999997
321,Luxembourg,2023,Energy,208978.8,-49429.30000000002
307,Luxembourg,2018,Industry,1503791.22,
310,Luxembourg,2019,Industry,1536763.06,32971.840000000084
313,Luxembourg,2020,Industry,1397296.4,-139466.66000000015
316,Luxembourg,2021,Industry,1406426.96,9130.560000000056
